Exp,Gene.symbol,Up/Down,GeneID,KeggID,NcbiID,type,adj.P.Val,logFC
5,MT-ND6,up,ENSG00000198695,190.0,4541.0,protein_coding,0.0416080931619021,1.53349082480156
5,C6orf99,up,ENSG00000203711,,,,0.0170777484124814,1.50157817040375
5,PLIN5,up,ENSG00000214456,,440503.0,protein_coding,0.0462803203771169,1.3359976382339
5,AL031587.1,up,ENSG00000222044,,,,0.0416080931619021,1.40283938969255
5,AL591848.2,up,ENSG00000235021,,,,0.0314930688720504,2.0042408988692
5,NSRP1P1,up,ENSG00000235613,,,,0.0167561200438558,1.17779187695702
5,AL450384.2,up,ENSG00000240291,,,,0.0288376067110176,1.35660662057075
5,RNU7-40P,up,ENSG00000252206,,,,0.0297497034546288,1.61938200328914
5,AL929472.5,up,ENSG00000252448,,,,0.0172695292743292,1.88186165403769
5,MEX3A,up,ENSG00000254726,4150.0,92312.0,protein_coding,0.0195924739182958,1.40289440745874
5,KIRREL3-AS2,up,ENSG00000254960,,,,0.0291819416385628,1.25690353763196
5,AC008127.2,up,ENSG00000257572,,,,0.0498595827754633,1.50562804165891
5,AC087639.1,up,ENSG00000259286,,,,0.0462803203771169,1.50852146498175
5,AC005086.2,up,ENSG00000261535,,,,0.0492138437729249,1.23475130286539
5,L3MBTL4-AS1,up,ENSG00000264707,,,,0.0169061660204212,1.40577962117726
5,AC012291.3,up,ENSG00000285667,,,,0.044460579150532,1.38262177558406
5,AC092058.1,up,ENSG00000285885,,,,0.0462803203771169,1.401855746603
5,CYP26B1,down,ENSG00000003137,232.0,56603.0,protein_coding,0.0334416297348196,-0.762364427528634
5,AHRR,down,ENSG00000063438,1110.0,57491.0,protein_coding,0.0462803203771169,-0.933155389274612
5,SLC32A1,down,ENSG00000101438,,140679.0,protein_coding,0.0462803203771169,-0.850072344246318
5,OCA2,down,ENSG00000104044,,,,0.0229754243737711,-1.06838680925878
5,NPTX2,down,ENSG00000106236,,,,0.0336978052004273,-0.914594060347428
5,E2F3,down,ENSG00000112242,230.0,1871.0,protein_coding,0.0379082118464225,-0.725430836986013
5,CDH9,down,ENSG00000113100,,,,0.0262009590044657,-1.03655429461583
5,NR4A3,down,ENSG00000119508,,,,0.0169061660204212,-1.45771035718625
5,DCLK1,down,ENSG00000133083,5170.0,9201.0,protein_coding,0.0288376067110176,-0.715808632602752
5,KCNK1,down,ENSG00000135750,,3775.0,protein_coding,0.0326951723530245,-0.75587721124196
5,RGS8,down,ENSG00000135824,5165.0,85397.0,protein_coding,0.0169061660204212,-1.02880823261847
5,ARHGAP20,down,ENSG00000137727,562.0,57569.0,protein_coding,0.0167561200438558,-0.985071888458933
5,EPHA5,down,ENSG00000145242,4658.0,2044.0,protein_coding,0.0442605371334597,-0.828044735423501
5,CRH,down,ENSG00000147571,,1392.0,protein_coding,0.0483832137141391,-1.02452952290822
5,SYNJ1,down,ENSG00000159082,5163.0,8867.0,protein_coding,0.0456088934335432,-0.825332569568956
5,IER5,down,ENSG00000162783,,51278.0,protein_coding,0.0357379538805877,-0.713515124382904
5,TMEM155,down,ENSG00000164112,,132332.0,protein_coding,0.0371869039512797,-0.794499709610649
5,STARD4,down,ENSG00000164211,1100.0,134429.0,protein_coding,0.0465199764061968,-0.726340840962292
5,NELL1,down,ENSG00000165973,,,,0.0291819416385628,-1.05527076569614
5,NETO2,down,ENSG00000171208,,,,0.0202489922782511,-0.729038545874218
5,PCSK1,down,ENSG00000175426,571.0,5122.0,protein_coding,0.0248374180499427,-0.898847277488036
5,BDNF,down,ENSG00000176697,,,,0.0172695292743292,-0.880933475108166
5,EGR3,down,ENSG00000179388,4658.0,1960.0,protein_coding,0.046765424596111,-0.835577369981348
5,PENK,down,ENSG00000181195,,5179.0,protein_coding,0.043775644953989,-1.00820668062806
5,C11orf87,down,ENSG00000185742,,399947.0,protein_coding,0.0382731640686926,-0.748094951665896
5,ARC,down,ENSG00000198576,,23237.0,protein_coding,0.0169061660204212,-0.912701852731923
5,BASP1-AS1,down,ENSG00000215196,,,,0.0492417511253204,-0.719900210426483
5,ANKRD34C,down,ENSG00000235711,541.0,390616.0,protein_coding,0.0379082118464225,-0.974007617737558
5,LINC00507,down,ENSG00000256193,,,,0.0169061660204212,-1.29330906013123
5,AL583827.1,down,ENSG00000285634,,,,0.0379082118464225,-1.30715651093016
