Gene ID	Gene Name	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 11' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 11'.pValue	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 24' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 24'.pValue	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 9' .foldChange	'bipolar disorder' vs 'normal' in 'Brodmann (1909) area 9'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 11' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 11'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 24' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 24'.pValue	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 9' .foldChange	'schizophrenia' vs 'normal' in 'Brodmann (1909) area 9'.pValue
ENSG00000003402	CFLAR	0.5	0.0706809860699505	0.2	0.998056860267984	-0.1	0.99498273299885	0.3	0.997156663666153	0.7	0.0378932445304206	0.2	0.865544056582727
ENSG00000003436	TFPI	0.3	0.502465288097811	0.3	0.998056860267984	0.4	0.99498273299885	-0.2	0.997156663666153	-0.1	0.899164864430347	0.3	0.753969474716553
ENSG00000003509	NDUFAF7	-0.3	0.302210641359607	0.1	0.998056860267984	-0.1	0.99498273299885	-0.2	0.997156663666153	-0.2	0.58559360267274	-0.1	0.950220459022504
ENSG00000003756	RBM5	-0.1	0.640814411843218	-0.1	0.998056860267984			0.1	0.997156663666153			0.2	0.779956471543491
ENSG00000003987	MTMR7	-0.3	0.24717576441503	-0.1	0.998056860267984	0.2	0.99498273299885	0.1	0.997156663666153	-0.6	0.24357721963111
ENSG00000003989	SLC7A2	0.1	0.77782625415267	0.4	0.998056860267984	0.2	0.99498273299885	-0.1	0.997156663666153	0.7	0.101312220082186	0.7	0.305182354908381
ENSG00000004059	ARF5	-0.2	0.462652994607442	-0.6	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	-0.8	0.00535904692339689	-0.3	0.664053591199054
ENSG00000004139	SARM1			-0.1	0.998056860267984	-0.1	0.99498273299885			0.2	0.617037459061107	0.1	0.973763684519404
ENSG00000004142	POLDIP2			-0.2	0.998056860267984	-0.1	0.99498273299885			-0.1	0.67447042988618
ENSG00000004399	PLXND1	0.2	0.195007472598221	-0.1	0.998056860267984			0.2	0.997156663666153			-0.1	0.877276688035939
ENSG00000004455	AK2	0.1	0.644607390335228	0.3	0.998056860267984			0.2	0.997156663666153	0.2	0.507069547190314	0.1	0.948309813800817
ENSG00000004468	CD38	0.2	0.601562907031673	0.3	0.998056860267984	0.1	0.99498273299885	0.1	0.997156663666153	0.5	0.381472285511041	0.3	0.765972943705148
ENSG00000004478	FKBP4	-0.3	0.144116630971295	-0.1	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-0.2	0.656790894780553
ENSG00000004487	KDM1A	-0.1	0.630424052800381	-0.2	0.998056860267984			-0.1	0.997156663666153	-0.3	0.384801822055935	0.2	0.64236275387215
ENSG00000004534	RBM6	0.2	0.105865597143513			0.1	0.99498273299885	0.1	0.997156663666153	0.2	0.350564347850883	0.2	0.744832902162639
ENSG00000004660	CAMKK1	-0.2	0.491561283271863	-0.4	0.998056860267984	-0.1	0.99498273299885			-0.8	0.00761789734294878
ENSG00000004700	RECQL			0.3	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153	0.3	0.637320737853254	0.1	0.969103268134089
ENSG00000004766	VPS50	-0.4	0.182332043553845			0.4	0.99498273299885	-0.1	0.997156663666153	-0.5	0.138559696473619	0.1	0.914292392639548
ENSG00000004776	HSPB6	0.4	0.240243349864271			-0.2	0.99498273299885	0.2	0.997156663666153	0.4	0.48466906695702	0.1	0.950371282544273
ENSG00000004777	ARHGAP33	0.2	0.189384635813155			-0.2	0.99498273299885	0.1	0.997156663666153	0.3	0.337507337315274	-0.2	0.704961829059379
ENSG00000004779	NDUFAB1	-0.2	0.313644878168679	-0.2	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153	-0.7	0.0166498995404411	-0.2	0.834224273702636
ENSG00000004799	PDK4	0.3	0.452437269668486	0.9	0.998056860267984	0.3	0.99498273299885			1.4	0.00167374707009543	0.3	0.825301110417224
ENSG00000004809	SLC22A16					0.1	0.99498273299885	0.1	0.997156663666153
ENSG00000004838	ZMYND10	0.4	0.211239879388685	-0.1	0.998056860267984	-0.3	0.99498273299885	0.1	0.997156663666153	0.1	0.872737967415756	-0.2	0.892137018938013
ENSG00000004848	ARX	-0.2	0.193428927004249	-0.1	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	0.1	0.911067387136958	-0.3	0.82630723782496
ENSG00000004864	SLC25A13	0.2	0.48884593732446	0.1	0.998056860267984	-0.4	0.99498273299885	0.1	0.997156663666153	0.1	0.821542112442192	-0.3	0.722802781754625
ENSG00000004866	ST7	-0.3	0.179621273142341	0.1	0.998056860267984	0.1	0.99498273299885	-0.2	0.997156663666153			0.2	0.852351176413029
ENSG00000004897	CDC27	-0.1	0.677666530268233			0.4	0.99498273299885			-0.3	0.391285046458166	0.2	0.824391853454947
ENSG00000004939	SLC4A1			0.3	0.998056860267984	0.1	0.99498273299885	0.1	0.997156663666153
ENSG00000004948	CALCR			0.2	0.998056860267984	0.2	0.99498273299885
ENSG00000004961	HCCS	-0.4	0.105865597143513	-0.2	0.998056860267984	0.2	0.99498273299885	-0.1	0.997156663666153	-0.6	0.10321863908719
ENSG00000004975	DVL2					-0.1	0.99498273299885			0.3	0.313939185434044
ENSG00000005007	UPF1	0.3	0.0351090537862646			-0.3	0.99498273299885	0.2	0.997156663666153	0.2	0.610987821378473	0.1	0.949465457296476
ENSG00000005020	SKAP2	-0.2	0.27793698487881	-0.2	0.998056860267984	0.1	0.99498273299885	-0.1	0.997156663666153	-0.7	0.0476015851570851	-0.2	0.857086119132364
ENSG00000005022	SLC25A5	-0.2	0.166785281700417	0.1	0.998056860267984	0.1	0.99498273299885	-0.2	0.997156663666153	-0.3	0.374912327973602	-0.2	0.811276535791068
ENSG00000005059	MCUB	0.4	0.242263214988942					0.2	0.997156663666153	0.2	0.81686216123005
ENSG00000005075	POLR2J	0.4	0.0937995008699952	0.1	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153	0.2	0.79211449310083
ENSG00000005100	DHX33			-0.1	0.998056860267984	0.1	0.99498273299885	-0.2	0.997156663666153	-0.1	0.860853705777487	0.2	0.71049696763866
ENSG00000005102	MEOX1			-0.1	0.998056860267984
ENSG00000005108	THSD7A	0.2	0.564082488407351			0.7	0.99498273299885			0.1	0.881107957557237	0.3	0.586540220895047
ENSG00000005156	LIG3	-0.2	0.38752000368283	-0.1	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-0.2	0.623599899986628	0.1	0.892548442498415
ENSG00000005175	RPAP3	-0.2	0.236471684825296	0.2	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153	-0.1	0.907223487219976
ENSG00000005187	ACSM3			-0.1	0.998056860267984			0.1	0.997156663666153
ENSG00000005189	REXO5			-0.3	0.998056860267984	-0.2	0.99498273299885	0.2	0.997156663666153	-0.2	0.792046874684533
ENSG00000005194	CIAPIN1	-0.2	0.387910718311953	-0.4	0.998056860267984	-0.3	0.99498273299885			-0.5	0.207456536566943	-0.3	0.654921057125071
ENSG00000005206	SPPL2B	0.2	0.273210283396064	-0.2	0.998056860267984	-0.2	0.99498273299885	0.1	0.997156663666153			-0.3	0.636383530356654
ENSG00000005238	FAM214B	0.3	0.0545917964067501	-0.1	0.998056860267984	-0.2	0.99498273299885	0.3	0.997156663666153			-0.1	0.876229968219088
ENSG00000005243	COPZ2	0.5	0.176941732330462	0.1	0.998056860267984	0.1	0.99498273299885			0.5	0.331428835144346	0.2	0.852425236733225
ENSG00000005249	PRKAR2B	-0.2	0.401791200447133			0.3	0.99498273299885	-0.1	0.997156663666153	-0.6	0.0365571314748551
ENSG00000005302	MSL3	-0.1	0.433026347429276	0.1	0.998056860267984	0.1	0.99498273299885			-0.1	0.872978370640821
ENSG00000005339	CREBBP	0.1	0.557613336599199							0.2	0.633974500585898	0.1	0.850455037784055
ENSG00000005379	TSPOAP1	-0.1	0.721367492456866			-0.1	0.99498273299885	-0.1	0.997156663666153	0.6	0.103789184796189
ENSG00000005381	MPO					-0.2	0.99498273299885					-0.1	0.914605063517616
ENSG00000005421	PON1			0.4	0.998056860267984	0.3	0.99498273299885
ENSG00000005436	GCFC2	0.2	0.331444554429592	-0.1	0.998056860267984			-0.1	0.997156663666153	0.2	0.741259857092514
ENSG00000005448	WDR54			-0.4	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-0.3	0.558094240604473	-0.3	0.66047251644073
ENSG00000005469	CROT	-0.1	0.67861803769576			0.1	0.99498273299885	-0.1	0.997156663666153	-0.1	0.86417993276816	0.2	0.794505366665742
ENSG00000005471	ABCB4			0.2	0.998056860267984	0.2	0.99498273299885	0.2	0.997156663666153
ENSG00000005483	KMT2E	0.4	0.0737757754041169	0.3	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153	0.4	0.142485361975678	0.2	0.660870365306773
ENSG00000005486	RHBDD2	-0.1	0.644900092349692	-0.5	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	-0.5	0.0494721295551563	-0.2	0.743525089336783
ENSG00000005513	SOX8	0.5	0.1468809105563	0.2	0.998056860267984	-0.4	0.99498273299885	0.3	0.997156663666153	0.5	0.245451722875171	-0.6	0.261599414639896
ENSG00000005700	IBTK	0.1	0.752808383156997	0.1	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153	-0.1	0.796544241726705	0.1	0.922130555446328
ENSG00000005801	ZNF195			0.1	0.998056860267984							0.1	0.85023260779137
ENSG00000005810	MYCBP2					0.4	0.99498273299885	-0.1	0.997156663666153	-0.4	0.0721914667832369
ENSG00000005812	FBXL3	-0.3	0.225028353051347	0.2	0.998056860267984	0.1	0.99498273299885			-0.1	0.81329215769277
ENSG00000005844	ITGAL					0.1	0.99498273299885	-0.1	0.997156663666153			0.1	0.935188304242164
ENSG00000005882	PDK2	-0.2	0.564668829107154	-0.3	0.998056860267984	-0.3	0.99498273299885			-0.3	0.540404572119625
ENSG00000005884	ITGA3			-0.3	0.998056860267984	-0.3	0.99498273299885			-0.5	0.058366783560154	-0.2	0.824321993672167
ENSG00000005889	ZFX	0.1	0.716202427611742	0.2	0.998056860267984	0.2	0.99498273299885	0.2	0.997156663666153	0.3	0.516828478721143	0.4	0.608441801573498
ENSG00000005893	LAMP2	0.1	0.824071369973681	0.3	0.998056860267984	-0.1	0.99498273299885	0.2	0.997156663666153	0.1	0.857805484882741	-0.4	0.660783033359686
ENSG00000005961	ITGA2B	0.3	0.248924247020407					0.1	0.997156663666153	0.5	0.35121221068081	0.1	0.935150322810069
ENSG00000005981	ASB4			0.2	0.998056860267984	-0.1	0.99498273299885			0.4	0.611841145772977	0.4	0.713471836152932
ENSG00000006007	GDE1	-0.1	0.731379982592064	-0.1	0.998056860267984	-0.1	0.99498273299885			-0.3	0.30965731899613	-0.2	0.616719514112023
ENSG00000006015	REX1BD	-0.1	0.832301064521941	-0.3	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	-0.4	0.278241947510238	-0.3	0.623209984694408
ENSG00000006016	CRLF1			-0.3	0.998056860267984	-0.4	0.99498273299885	-0.4	0.997156663666153	0.3	0.583146638421779
ENSG00000006025	OSBPL7	0.2	0.254205449424112	-0.1	0.998056860267984	-0.3	0.99498273299885	0.1	0.997156663666153	0.4	0.207113096202519
ENSG00000006042	TMEM98	0.2	0.509264713734658	0.5	0.998056860267984	-0.4	0.99498273299885	0.3	0.997156663666153	0.7	0.195841419445623	-0.6	0.438017857619802
ENSG00000006047	YBX2			-0.3	0.998056860267984	-0.3	0.99498273299885	-0.2	0.997156663666153	-0.5	0.346356635279026	-0.2	0.840956488358929
ENSG00000006062	MAP3K14	-0.3	0.402646670855862	0.2	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	0.1	0.912000446605984	-0.1	0.932436887986128
ENSG00000006071	ABCC8			-0.3	0.998056860267984	-0.2	0.99498273299885	0.1	0.997156663666153	-0.1	0.680721502368166	-0.1	0.949465457296476
ENSG00000006116	CACNG3	-0.3	0.105203523448724	-0.5	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-0.8	0.00286347824626406	-0.1	0.898019889043936
ENSG00000006118	TMEM132A			-0.2	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	-0.2	0.474533463704747	-0.2	0.793692417324719
ENSG00000006125	AP2B1	-0.2	0.272310626148248	-0.2	0.998056860267984	-0.1	0.99498273299885			-0.5	0.0185059593915998	-0.1	0.932436887986128
ENSG00000006128	TAC1	-0.6	0.063182267618764	-0.3	0.998056860267984			-0.2	0.997156663666153	-1.0	0.0602844074617086	-0.5	0.591228792926965
ENSG00000006194	ZNF263			-0.1	0.998056860267984			0.1	0.997156663666153	-0.4	0.186706158174407
ENSG00000006210	CX3CL1	-0.4	0.0868640659110961	-0.5	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-1.1	6.94148286839438E-4	-0.4	0.568538700733812
ENSG00000006282	SPATA20	0.3	0.219282003946702	-0.1	0.998056860267984	-0.3	0.99498273299885	0.1	0.997156663666153	0.3	0.364621623009282	-0.2	0.808283369607997
ENSG00000006283	CACNA1G	-0.2	0.303423419727108	-0.5	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	-0.7	0.0710097302645502	-0.3	0.617263062451153
ENSG00000006327	TNFRSF12A			0.4	0.998056860267984	-0.2	0.99498273299885
ENSG00000006377	DLX6	-0.1	0.742237910530071	-0.2	0.998056860267984	0.1	0.99498273299885					-0.2	0.884837092315075
ENSG00000006432	MAP3K9	-0.2	0.380402972341113	-0.4	0.998056860267984			-0.2	0.997156663666153	-0.5	0.203237586725631	-0.1	0.95265552603377
ENSG00000006451	RALA	0.2	0.195326916881709	0.1	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153			0.1	0.88524725222207
ENSG00000006453	BAIAP2L1			0.4	0.998056860267984	0.3	0.99498273299885
ENSG00000006459	KDM7A	-0.3	0.192861428055543	0.4	0.998056860267984	0.2	0.99498273299885	-0.3	0.997156663666153
ENSG00000006468	ETV1	-0.3	0.178865671598896	0.3	0.998056860267984	0.2	0.99498273299885	-0.3	0.997156663666153	0.3	0.458493418453982	-0.1	0.842479221299393
ENSG00000006530	AGK	-0.1	0.741496373377915	-0.2	0.998056860267984			0.1	0.997156663666153	-0.6	0.0208351909852526
ENSG00000006534	ALDH3B1	0.3	0.382777723060091	0.4	0.998056860267984	0.1	0.99498273299885	0.3	0.997156663666153	0.9	0.0808522947265777	-0.2	0.888423539972332
ENSG00000006555	TTC22			-0.3	0.998056860267984	-0.1	0.99498273299885	0.1	0.997156663666153
ENSG00000006576	PHTF2	-0.2	0.588421831568784			0.3	0.99498273299885	-0.1	0.997156663666153	-0.4	0.365703090546572	0.2	0.863643965894545
ENSG00000006606	CCL26			-0.1	0.998056860267984
ENSG00000006607	FARP2	0.1	0.656483239931891	-0.2	0.998056860267984	-0.2	0.99498273299885			0.2	0.627128630897513	-0.1	0.884837092315075
ENSG00000006611	USH1C	0.3	0.514272936390172	0.4	0.998056860267984	-0.1	0.99498273299885	0.3	0.997156663666153	0.1	0.937090183475605	-0.4	0.717714576129804
ENSG00000006625	GGCT	-0.2	0.380712183992412	-0.3	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153	-0.7	0.0785201483144923
ENSG00000006634	DBF4	-0.2	0.579904759398832	-0.1	0.998056860267984	0.2	0.99498273299885					0.1	0.96253583689122
ENSG00000006638	TBXA2R			-0.1	0.998056860267984			0.2	0.997156663666153
ENSG00000006652	IFRD1	-0.2	0.43965867538884	0.2	0.998056860267984	-0.1	0.99498273299885			0.3	0.612183460529376	0.1	0.93400395547045
ENSG00000006695	COX10	-0.2	0.473104999259652	-0.2	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	-0.5	0.389030663566318	-0.2	0.871242045878176
ENSG00000006704	GTF2IRD1	0.1	0.733035872459951	-0.3	0.998056860267984					0.1	0.757343811944869	0.1	0.956780440212592
ENSG00000006712	PAF1	-0.2	0.341611084080288			-0.3	0.99498273299885	-0.1	0.997156663666153	-0.3	0.184286666769531	-0.4	0.120316070556672
ENSG00000006715	VPS41					0.2	0.99498273299885	-0.1	0.997156663666153	-0.1	0.698197044026996
ENSG00000006740	ARHGAP44	-0.3	0.104902617568913	-0.4	0.998056860267984	-0.1	0.99498273299885			-0.7	0.0153214328042182	-0.2	0.823977559039333
ENSG00000006744	ELAC2			-0.3	0.998056860267984	-0.3	0.99498273299885			-0.2	0.637320737853254	-0.2	0.712904642266245
ENSG00000006747	SCIN			0.3	0.998056860267984	0.4	0.99498273299885	-0.1	0.997156663666153			0.1	0.927786441044119
ENSG00000006756	ARSD	0.5	0.118223943794389	0.3	0.998056860267984			0.2	0.997156663666153	0.5	0.273785634912245	0.1	0.956780440212592
ENSG00000006757	PNPLA4	0.1	0.733694593903118	-0.2	0.998056860267984	0.3	0.99498273299885	0.1	0.997156663666153			0.3	0.64236275387215
ENSG00000006788	MYH13					0.1	0.99498273299885	0.1	0.997156663666153
ENSG00000006831	ADIPOR2	0.4	0.174945325561671	0.3	0.998056860267984	-0.1	0.99498273299885	0.2	0.997156663666153	0.3	0.560382131898697	-0.3	0.743525089336783
ENSG00000006837	CDKL3	0.1	0.757678255579042	-0.1	0.998056860267984	0.1	0.99498273299885			0.1	0.912477471291451	-0.1	0.935150322810069
ENSG00000007001	UPP2	-0.1	0.731838284384453	0.3	0.998056860267984	0.2	0.99498273299885	-0.1	0.997156663666153	0.2	0.81686216123005	0.1	0.937625634627032
ENSG00000007047	MARK4	0.1	0.691354472208443	-0.4	0.998056860267984	-0.2	0.99498273299885			-0.1	0.714515049041836	-0.1	0.86437333455023
ENSG00000007062	PROM1	-0.3	0.402646670855862			-0.2	0.99498273299885	-0.1	0.997156663666153	-0.3	0.655094361600093	-0.4	0.682056876360653
ENSG00000007080	CCDC124			-0.3	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	-0.2	0.546927827829253	-0.4	0.619597997572822
ENSG00000007129	CEACAM21			-0.1	0.998056860267984	0.4	0.99498273299885
ENSG00000007168	PAFAH1B1	-0.5	0.0369936992615513	-0.1	0.998056860267984			-0.1	0.997156663666153	-0.6	0.0294033504314943	-0.3	0.718950762332385
ENSG00000007171	NOS2	-0.3	0.374129734821037	0.2	0.998056860267984	0.1	0.99498273299885			0.5	0.442480526144661
ENSG00000007174	DNAH9	-0.2	0.678074834733045	-0.5	0.998056860267984	-0.2	0.99498273299885	0.1	0.997156663666153	-0.3	0.53279600578308	0.2	0.874407452105012
ENSG00000007202	KIAA0100	-0.3	0.150069548582362	-0.2	0.998056860267984					-0.2	0.488545126670381	-0.2	0.604915605106554
ENSG00000007237	AC005747.1	-0.2	0.177563354839635	-0.4	0.998056860267984	-0.1	0.99498273299885			-0.6	0.0555528594823359	-0.2	0.702605315348155
ENSG00000007255	TRAPPC6A	0.2	0.527026262861784	0.1	0.998056860267984	-0.5	0.99498273299885	0.2	0.997156663666153	0.1	0.870912122309215	-0.7	0.269080276783364
ENSG00000007264	MATK	-0.1	0.821904656046592	-0.1	0.998056860267984	-0.1	0.99498273299885	-0.1	0.997156663666153	0.1	0.895879320992373	-0.3	0.617015001391078
ENSG00000007312	CD79B					0.2	0.99498273299885	0.2	0.997156663666153
ENSG00000007314	SCN4A			0.1	0.998056860267984			0.1	0.997156663666153
ENSG00000007341	ST7L	0.3	0.209939914748564	0.1	0.998056860267984	-0.1	0.99498273299885	0.1	0.997156663666153	0.1	0.839740236766292	-0.2	0.86968128397556
ENSG00000007350	TKTL1					-0.1	0.99498273299885
ENSG00000007372	PAX6	0.3	0.358796838100699	0.7	0.998056860267984	-0.1	0.99498273299885			1.2	0.00105764747118025	0.1	0.95294693704721
ENSG00000007376	RPUSD1	0.1	0.599233122056259	-0.2	0.998056860267984	-0.3	0.99498273299885	-0.1	0.997156663666153	-0.2	0.729337424871498	-0.5	0.499922322765426
ENSG00000007384	RHBDF1	0.6	0.0760467385642665	0.1	0.998056860267984	-0.3	0.99498273299885	0.2	0.997156663666153	0.7	0.0525486407760628
ENSG00000007392	LUC7L	0.1	0.381780696129432			-0.1	0.99498273299885	0.1	0.997156663666153	0.2	0.615266660447065	0.2	0.676504603872504
ENSG00000007402	CACNA2D2	-0.1	0.795779179047384	-0.4	0.998056860267984	-0.3	0.99498273299885			-0.3	0.519657726714197	-0.3	0.751568047816754
ENSG00000007516	BAIAP3	-0.2	0.478889250411022	-0.3	0.998056860267984	-0.2	0.99498273299885	-0.1	0.997156663666153	-0.7	0.0812740291750821	-0.2	0.743525089336783
ENSG00000007520	TSR3	0.1	0.765685220742018	-0.1	0.998056860267984	-0.1	0.99498273299885	0.1	0.997156663666153	-0.1	0.755239611407673	-0.3	0.74150676560098
ENSG00000007541	PIGQ	0.2	0.211356525769767	-0.2	0.998056860267984	-0.3	0.99498273299885					-0.3	0.668619389627376
