gene_id,type,ncbi,kegg
ENSG00000010072,protein_coding,83932,
ENSG00000010165,protein_coding,51603,1059
ENSG00000010219,nonsense_mediated_decay,8798,521
ENSG00000010244,protein_coding,7756,20
ENSG00000010256,protein_coding,7384,190
ENSG00000010270,protein_coding,83930,
ENSG00000010278,protein_coding,928,
ENSG00000010282,protein_coding,57467,100
ENSG00000010292,protein_coding,9918,1120
ENSG00000010295,protein_coding,25900,
ENSG00000010310,nonsense_mediated_decay,2696,
ENSG00000010318,protein_coding,51533,4660
ENSG00000010319,protein_coding,56920,53
ENSG00000010322,protein_coding,11188,4151
ENSG00000010327,protein_coding,23166,4714
ENSG00000010361,protein_coding,80199,
ENSG00000010379,protein_coding,6540,
ENSG00000010404,protein_coding,3423,565
ENSG00000010438,protein_coding,5646,1100
ENSG00000010539,protein_coding,7752,4660
ENSG00000010610,protein_coding,920,830
ENSG00000010626,protein_coding,10233,620
ENSG00000010671,protein_coding,695,4150
ENSG00000010704,protein_coding,3077,4660
ENSG00000010803,protein_coding,22955,600
ENSG00000010810,protein_coding,2534,515
ENSG00000010818,protein_coding,3097,4660
ENSG00000010932,protein_coding,2326,130
ENSG00000011007,protein_coding,6924,1100
ENSG00000011009,protein_coding,11313,61
ENSG00000011028,nonsense_mediated_decay,9902,4714
ENSG00000011052,protein_coding,654364,983
ENSG00000011083,protein_coding,6534,
ENSG00000011132,protein_coding,9546,565
ENSG00000011143,nonsense_mediated_decay,54903,
ENSG00000011201,protein_coding,3730,5163
ENSG00000011243,nonsense_mediated_decay,26993,
ENSG00000011258,nonsense_mediated_decay,54799,
ENSG00000011260,protein_coding,51096,4714
ENSG00000011275,protein_coding,54476,4151
ENSG00000011304,protein_coding,5725,4714
ENSG00000011332,protein_coding,8193,4660
ENSG00000011376,protein_coding,23395,5170
ENSG00000011405,protein_coding,5286,500
ENSG00000011422,nonsense_mediated_decay,5329,
ENSG00000011426,protein_coding,54443,5165
ENSG00000011451,protein_coding,58525,20
ENSG00000011454,protein_coding,23637,562
ENSG00000011465,protein_coding,1634,5235
ENSG00000011478,protein_coding,54814,250
ENSG00000011485,protein_coding,5536,790
ENSG00000011523,protein_coding,23177,
ENSG00000011566,protein_coding,8491,901
ENSG00000011590,protein_coding,27033,908
ENSG00000011600,protein_coding,7305,
ENSG00000011638,protein_coding,57146,
ENSG00000011677,protein_coding,2556,5165
ENSG00000012048,non_stop_decay,672,511
ENSG00000012061,nonsense_mediated_decay,2067,
ENSG00000012124,protein_coding,933,520
ENSG00000012171,protein_coding,7869,40
ENSG00000012174,protein_coding,51360,330
ENSG00000012211,protein_coding,4007,5170
ENSG00000012223,protein_coding,4057,
ENSG00000012232,protein_coding,2137,515
ENSG00000012504,nonsense_mediated_decay,9971,310
ENSG00000012779,protein_coding,240,1110
ENSG00000012817,protein_coding,8284,4150
ENSG00000012822,protein_coding,57658,562
ENSG00000012963,protein_coding,55148,4151
ENSG00000012983,protein_coding,11183,4150
ENSG00000013016,protein_coding,30845,52
ENSG00000013275,protein_coding,5704,51
ENSG00000013293,protein_coding,57709,
ENSG00000013297,protein_coding,5010,
ENSG00000013306,nonsense_mediated_decay,51629,
ENSG00000013374,protein_coding,51667,4658
ENSG00000013392,protein_coding,112611,4926
ENSG00000013441,protein_coding,1195,564
ENSG00000013503,protein_coding,55703,
ENSG00000013523,protein_coding,23357,565
ENSG00000013561,protein_coding,9604,4660
ENSG00000013583,protein_coding,50865,
ENSG00000013588,protein_coding,9052,
ENSG00000013619,protein_coding,10046,
ENSG00000013725,nonsense_mediated_decay,923,
ENSG00000013810,protein_coding,10460,
ENSG00000014123,protein_coding,23376,
ENSG00000014138,protein_coding,23649,
ENSG00000014164,protein_coding,23144,
ENSG00000014216,protein_coding,823,513
ENSG00000014257,protein_coding,55,30
ENSG00000014641,protein_coding,4190,603
ENSG00000014824,nonsense_mediated_decay,10463,270
ENSG00000014914,protein_coding,10903,4658
ENSG00000014919,protein_coding,1355,730
ENSG00000015133,protein_coding,440193,5170
ENSG00000015153,nonsense_mediated_decay,10138,
ENSG00000015171,protein_coding,10771,4714
ENSG00000015285,protein_coding,7454,4926
ENSG00000015413,protein_coding,1800,240
ENSG00000015475,protein_coding,637,
ENSG00000015479,protein_coding,9782,908
ENSG00000015520,protein_coding,29881,900
ENSG00000015532,protein_coding,64132,1100
ENSG00000015568,protein_coding,84220,514
ENSG00000016391,protein_coding,55349,1120
ENSG00000016402,protein_coding,53832,4926
ENSG00000016490,protein_coding,1179,52
ENSG00000016602,protein_coding,22802,1100
ENSG00000016864,protein_coding,55830,982
ENSG00000017260,protein_coding,27032,4658
ENSG00000017427,protein_coding,3479,
ENSG00000017483,protein_coding,92745,
ENSG00000017797,protein_coding,10928,562
ENSG00000018189,protein_coding,22902,5165
ENSG00000018236,protein_coding,1272,511
ENSG00000018280,nonsense_mediated_decay,6556,
ENSG00000018408,protein_coding,25937,1100
ENSG00000018510,protein_coding,8540,100
ENSG00000018610,protein_coding,63932,
ENSG00000018625,protein_coding,477,4660
ENSG00000018699,protein_coding,55622,5170
ENSG00000018869,non_stop_decay,147948,908
ENSG00000019102,protein_coding,23584,531
ENSG00000019144,protein_coding,23187,561
ENSG00000019169,protein_coding,8685,910
ENSG00000019186,protein_coding,1591,380
ENSG00000019485,protein_coding,56981,1100
ENSG00000019505,protein_coding,57586,5165
ENSG00000019549,protein_coding,6591,5235
ENSG00000019582,protein_coding,972,
ENSG00000019991,protein_coding,3082,730
ENSG00000020129,protein_coding,23154,5165
ENSG00000020256,protein_coding,55734,4658
ENSG00000020426,protein_coding,4331,310
ENSG00000020577,protein_coding,23034,4070
ENSG00000020633,protein_coding,864,
ENSG00000020922,protein_coding,4361,680
ENSG00000021355,protein_coding,1992,
ENSG00000021461,protein_coding,64816,941
ENSG00000021488,nonsense_mediated_decay,11136,
ENSG00000021574,protein_coding,6683,620
ENSG00000021645,protein_coding,9369,5163
ENSG00000021762,protein_coding,114879,5235
ENSG00000021826,protein_coding,1373,270
ENSG00000022267,protein_coding,2273,5165
ENSG00000022277,protein_coding,51507,
ENSG00000022355,nonsense_mediated_decay,2554,4714
ENSG00000022556,protein_coding,55655,944
ENSG00000022567,protein_coding,57210,270
ENSG00000022840,protein_coding,9921,760
ENSG00000022976,protein_coding,55778,4660
ENSG00000023041,protein_coding,64429,4150
ENSG00000023171,protein_coding,57476,4714
ENSG00000023191,protein_coding,6050,5170
ENSG00000023228,protein_coding,4719,380
ENSG00000023287,nonsense_mediated_decay,9821,
ENSG00000023330,protein_coding,211,780
ENSG00000023445,protein_coding,330,4660
ENSG00000023516,protein_coding,11215,
ENSG00000023572,nonsense_mediated_decay,51022,561
ENSG00000023608,protein_coding,6617,
ENSG00000023839,protein_coding,1244,195
ENSG00000023892,protein_coding,50619,30
ENSG00000023902,protein_coding,51177,565
ENSG00000023909,protein_coding,2730,1100
ENSG00000024048,protein_coding,23304,402
ENSG00000024422,protein_coding,30846,680
ENSG00000024526,protein_coding,55635,760
ENSG00000024862,protein_coding,25901,
ENSG00000025039,protein_coding,58528,430
ENSG00000025156,protein_coding,3298,760
ENSG00000025293,protein_coding,51230,310
ENSG00000025423,protein_coding,8630,960
ENSG00000025434,protein_coding,10062,1100
ENSG00000025708,protein_coding,1890,1110
ENSG00000025770,protein_coding,29781,
ENSG00000025772,protein_coding,10953,4150
ENSG00000025796,protein_coding,11231,5170
ENSG00000025800,protein_coding,23633,730
ENSG00000026025,nonsense_mediated_decay,7431,
ENSG00000026036,nonsense_mediated_decay,,
ENSG00000026103,nonsense_mediated_decay,355,4660
ENSG00000026297,protein_coding,8635,230
ENSG00000026508,protein_coding,960,340
ENSG00000026559,protein_coding,3755,4150
ENSG00000026652,protein_coding,56895,561
ENSG00000026751,protein_coding,57823,4150
ENSG00000026950,protein_coding,11119,901
ENSG00000027001,protein_coding,4285,230
ENSG00000027075,protein_coding,5583,5165
ENSG00000027644,protein_coding,3645,4714
ENSG00000027697,protein_coding,3459,280
ENSG00000027847,protein_coding,11285,601
ENSG00000027869,protein_coding,9047,562
ENSG00000028116,protein_coding,7444,730
ENSG00000028137,protein_coding,7133,4714
ENSG00000028203,protein_coding,55591,
ENSG00000028277,protein_coding,5452,760
ENSG00000028528,protein_coding,6642,5165
ENSG00000028839,protein_coding,9519,
ENSG00000029363,protein_coding,9774,
ENSG00000029364,protein_coding,55334,
ENSG00000029534,protein_coding,286,1110
ENSG00000029559,protein_coding,3381,
ENSG00000029639,protein_coding,51106,981
ENSG00000029725,protein_coding,9135,
ENSG00000030066,nonsense_mediated_decay,23279,
ENSG00000030304,protein_coding,4593,380
ENSG00000030419,protein_coding,22807,4660
ENSG00000030582,protein_coding,2896,
ENSG00000031003,protein_coding,51306,1100
ENSG00000031081,protein_coding,57514,1100
ENSG00000031698,protein_coding,6301,250
ENSG00000031823,protein_coding,8498,4660
ENSG00000032219,protein_coding,5926,4150
ENSG00000032389,protein_coding,7260,4714
ENSG00000032444,protein_coding,10908,4658
ENSG00000032742,protein_coding,8100,4714
ENSG00000033011,nonsense_mediated_decay,56052,571
ENSG00000033030,protein_coding,55596,1100
ENSG00000033050,protein_coding,10061,770
ENSG00000033100,nonsense_mediated_decay,54480,513
ENSG00000033122,protein_coding,57554,760
ENSG00000033178,nonsense_mediated_decay,55236,1100
ENSG00000033327,protein_coding,9846,5170
ENSG00000033627,protein_coding,535,
ENSG00000033800,protein_coding,8554,5163
ENSG00000033867,protein_coding,9497,1120
ENSG00000034053,protein_coding,321,1100
ENSG00000034152,protein_coding,5606,230
ENSG00000034239,protein_coding,79645,680
ENSG00000034510,protein_coding,9168,
ENSG00000034533,nonsense_mediated_decay,28990,
ENSG00000034677,protein_coding,25897,310
ENSG00000034693,protein_coding,8504,
ENSG00000034713,protein_coding,11345,4150
ENSG00000034971,nonsense_mediated_decay,4653,
ENSG00000035141,nonsense_mediated_decay,84908,
ENSG00000035403,protein_coding,7414,
ENSG00000035499,protein_coding,55789,404
ENSG00000035664,protein_coding,23604,4926
ENSG00000035681,protein_coding,8439,623
ENSG00000035687,protein_coding,159,380
ENSG00000035720,protein_coding,26228,4714
ENSG00000035862,nonsense_mediated_decay,7077,
ENSG00000035928,protein_coding,5981,52
ENSG00000036054,protein_coding,55773,4660
ENSG00000036257,protein_coding,8452,740
ENSG00000036448,protein_coding,9172,982
ENSG00000036473,protein_coding,5009,240
ENSG00000036549,protein_coding,26009,1100
ENSG00000036565,protein_coding,6570,1100
ENSG00000036672,protein_coding,9099,480
ENSG00000036828,protein_coding,846,1100
ENSG00000037042,protein_coding,27175,
ENSG00000037241,protein_coding,51121,
ENSG00000037280,protein_coding,2324,5165
ENSG00000037474,protein_coding,54888,232
ENSG00000037749,protein_coding,4238,564
ENSG00000037757,protein_coding,84245,520
ENSG00000037897,protein_coding,4234,480
ENSG00000038002,protein_coding,175,120
ENSG00000038210,protein_coding,55300,562
ENSG00000038219,protein_coding,259282,
ENSG00000038274,protein_coding,27430,860
ENSG00000038295,protein_coding,7092,1110
ENSG00000038358,protein_coding,23644,950
ENSG00000038427,protein_coding,1462,4070
ENSG00000038532,protein_coding,23274,
ENSG00000038945,nonsense_mediated_decay,4481,910
ENSG00000039068,protein_coding,999,520
ENSG00000039123,protein_coding,23517,720
ENSG00000039139,protein_coding,1767,5163
ENSG00000039319,protein_coding,9765,4070
ENSG00000039523,protein_coding,79567,4070
ENSG00000039537,protein_coding,729,350
ENSG00000039600,protein_coding,11063,310
ENSG00000039650,protein_coding,11284,970
ENSG00000039987,protein_coding,54831,
ENSG00000040199,protein_coding,23035,620
ENSG00000040275,protein_coding,54908,
ENSG00000040341,protein_coding,27067,4150
ENSG00000040487,protein_coding,54896,
ENSG00000040531,protein_coding,1497,
ENSG00000040633,protein_coding,79142,760
ENSG00000040933,protein_coding,3631,4150
ENSG00000041353,protein_coding,5874,720
ENSG00000041357,protein_coding,5685,332
ENSG00000041515,protein_coding,23026,4714
ENSG00000041802,protein_coding,55341,860
ENSG00000041880,protein_coding,10039,
ENSG00000041982,protein_coding,3371,4660
ENSG00000041988,nonsense_mediated_decay,90326,
ENSG00000042062,protein_coding,140876,
ENSG00000042088,protein_coding,55775,
ENSG00000042286,protein_coding,84883,330
ENSG00000042317,protein_coding,55812,
ENSG00000042429,protein_coding,9440,
ENSG00000042445,protein_coding,54884,140
ENSG00000042493,protein_coding,822,
ENSG00000042753,protein_coding,1175,
ENSG00000042781,protein_coding,7399,603
ENSG00000042813,protein_coding,11055,944
ENSG00000042832,protein_coding,7038,120
ENSG00000042980,protein_coding,10863,1110
ENSG00000043039,protein_coding,8538,1120
ENSG00000043093,nonsense_mediated_decay,54165,5163
ENSG00000043143,protein_coding,23338,5170
ENSG00000043355,protein_coding,7546,1110
ENSG00000043462,protein_coding,3937,4714
ENSG00000043514,protein_coding,54802,410
ENSG00000043591,protein_coding,153,1100
ENSG00000044012,protein_coding,2981,
ENSG00000044090,protein_coding,9820,52
ENSG00000044115,nonsense_mediated_decay,1495,
ENSG00000044446,protein_coding,5256,500
ENSG00000044459,protein_coding,54875,
ENSG00000044524,protein_coding,2042,511
ENSG00000044574,protein_coding,3309,10
ENSG00000046604,protein_coding,1829,1100
ENSG00000046647,protein_coding,54960,
ENSG00000046651,protein_coding,8481,5163
ENSG00000046653,protein_coding,2824,
ENSG00000046889,protein_coding,80243,565
ENSG00000047056,protein_coding,22884,360
ENSG00000047188,protein_coding,64848,410
ENSG00000047230,protein_coding,56474,760
ENSG00000047249,protein_coding,51606,230
ENSG00000047315,protein_coding,5431,
ENSG00000047346,nonsense_mediated_decay,56204,
ENSG00000047410,protein_coding,7175,
ENSG00000047457,protein_coding,1356,1100
ENSG00000047579,nonsense_mediated_decay,84062,
ENSG00000047597,protein_coding,7504,
ENSG00000047617,protein_coding,57101,
ENSG00000047621,protein_coding,57102,
ENSG00000047644,protein_coding,55841,5170
ENSG00000047648,protein_coding,395,5163
ENSG00000047662,protein_coding,27146,
ENSG00000047849,protein_coding,4134,
ENSG00000047932,protein_coding,57120,1100
ENSG00000047936,protein_coding,6098,4926
ENSG00000048028,protein_coding,57646,730
ENSG00000048052,protein_coding,9734,1100
ENSG00000048140,protein_coding,26262,
ENSG00000048162,protein_coding,51491,
ENSG00000048342,protein_coding,57545,5165
ENSG00000048392,nonsense_mediated_decay,50484,380
ENSG00000048405,protein_coding,168850,4660
ENSG00000048462,protein_coding,608,
ENSG00000048540,protein_coding,55885,4714
ENSG00000048544,protein_coding,55173,
ENSG00000048545,protein_coding,2978,760
ENSG00000048649,protein_coding,51773,4151
ENSG00000048740,protein_coding,10659,4926
ENSG00000048828,protein_coding,23196,
ENSG00000048991,protein_coding,23518,
ENSG00000049089,protein_coding,1298,910
ENSG00000049130,nonsense_mediated_decay,4254,
ENSG00000049167,protein_coding,1161,1120
ENSG00000049192,nonsense_mediated_decay,11174,1100
ENSG00000049239,protein_coding,9563,40
ENSG00000049246,protein_coding,8863,5170
ENSG00000049247,protein_coding,10911,
ENSG00000049249,protein_coding,3604,4150
ENSG00000049283,protein_coding,55040,1100
ENSG00000049323,protein_coding,4052,4150
ENSG00000049449,protein_coding,5954,5163
ENSG00000049540,nonsense_mediated_decay,2006,
ENSG00000049541,protein_coding,5982,440
ENSG00000049618,protein_coding,57492,730
ENSG00000049768,protein_coding,50943,524
ENSG00000049769,protein_coding,89801,1110
ENSG00000049860,protein_coding,3074,603
ENSG00000049883,protein_coding,79810,562
ENSG00000050030,protein_coding,340533,
ENSG00000050130,nonsense_mediated_decay,51528,
ENSG00000050165,protein_coding,27122,
ENSG00000050327,protein_coding,7984,5163
ENSG00000050344,protein_coding,9603,
ENSG00000050393,protein_coding,63933,
ENSG00000050405,nonsense_mediated_decay,51474,5170
ENSG00000050426,nonsense_mediated_decay,25875,
ENSG00000050438,protein_coding,9498,51
ENSG00000050555,protein_coding,10319,592
ENSG00000050628,nonsense_mediated_decay,5733,860
ENSG00000050730,protein_coding,79931,
ENSG00000050748,protein_coding,5601,5163
ENSG00000050767,protein_coding,91522,910
ENSG00000050820,protein_coding,9564,4070
ENSG00000051009,protein_coding,84067,
ENSG00000051108,protein_coding,9709,4070
ENSG00000051128,protein_coding,9454,561
ENSG00000051341,protein_coding,10721,310
ENSG00000051382,protein_coding,5291,500
ENSG00000051523,protein_coding,1535,
ENSG00000051596,protein_coding,84321,4714
ENSG00000051620,nonsense_mediated_decay,23593,
ENSG00000051825,protein_coding,10198,
ENSG00000052126,protein_coding,54477,310
ENSG00000052344,protein_coding,5652,1100
ENSG00000052723,protein_coding,80143,
ENSG00000052795,protein_coding,57600,
ENSG00000052802,protein_coding,6307,100
ENSG00000052850,protein_coding,60529,521
ENSG00000053108,protein_coding,23105,562
ENSG00000053254,protein_coding,1112,4151
ENSG00000053328,protein_coding,728464,260
ENSG00000053371,protein_coding,8574,40
ENSG00000053372,protein_coding,51154,
ENSG00000053438,protein_coding,4826,
ENSG00000053524,protein_coding,23101,5235
ENSG00000053702,protein_coding,83714,1100
ENSG00000053770,nonsense_mediated_decay,55745,
ENSG00000053900,protein_coding,29945,910
ENSG00000053918,protein_coding,3784,4714
ENSG00000054116,protein_coding,27095,1100
ENSG00000054118,protein_coding,9967,
ENSG00000054148,protein_coding,29085,
ENSG00000054179,protein_coding,954,1100
ENSG00000054219,protein_coding,4065,512
ENSG00000054267,protein_coding,51742,513
ENSG00000054277,protein_coding,23596,860
ENSG00000054282,protein_coding,10806,
ENSG00000054356,protein_coding,5798,1100
ENSG00000054392,protein_coding,55733,561
ENSG00000054523,protein_coding,23095,534
ENSG00000054598,protein_coding,2296,4150
ENSG00000054611,protein_coding,25771,
ENSG00000054654,protein_coding,23224,4151
ENSG00000054690,protein_coding,57475,565
ENSG00000054793,protein_coding,10079,4658
ENSG00000054803,protein_coding,140689,511
ENSG00000054938,nonsense_mediated_decay,25884,940
ENSG00000054965,protein_coding,23201,
ENSG00000054967,nonsense_mediated_decay,84957,
ENSG00000055044,nonsense_mediated_decay,51602,
ENSG00000055118,protein_coding,3757,5165
ENSG00000055130,protein_coding,8454,5170
ENSG00000055147,protein_coding,10827,
ENSG00000055163,nonsense_mediated_decay,26999,
ENSG00000055208,protein_coding,23118,
ENSG00000055211,protein_coding,116254,
ENSG00000055332,protein_coding,5610,5163
ENSG00000055483,protein_coding,57602,480
ENSG00000055609,protein_coding,58508,1100
ENSG00000055732,protein_coding,55283,
ENSG00000055813,protein_coding,114800,
ENSG00000055917,protein_coding,23369,230
